iter	Passed	Remaining
1397	35224	2570
1398	35251	2544
1399	35279	2519
1400	35309	2495
1401	35334	2469
1402	35358	2444
1403	35383	2419
1404	35406	2394
1405	35429	2368
1406	35451	2343
1407	35473	2317
1408	35496	2292
1409	35520	2267
1410	35545	2242
1411	35573	2217
1412	35595	2191
1413	35618	2166
1414	35641	2141
1415	35664	2115
1416	35687	2090
1417	35710	2065
1418	35733	2039
1419	35757	2014
1420	35780	1989
1421	35805	1964
1422	35829	1938
1423	35849	1913
1424	35871	1887
1425	35893	1862
1426	35924	1837
1427	35954	1812
1428	35991	1788
1429	36018	1763
1430	36044	1738
1431	36067	1712
1432	36089	1687
1433	36113	1662
1434	36134	1636
1435	36156	1611
1436	36181	1586
1437	36206	1561
1438	36230	1535
1439	36253	1510
1440	36281	1485
1441	36312	1460
1442	36338	1435
1443	36359	1410
1444	36383	1384
1445	36406	1359
1446	36429	1334
1447	36452	1309
1448	36476	1283
1449	36499	1258
1450	36521	1233
1451	36544	1208
1452	36568	1182
1453	36596	1157
1454	36619	1132
1455	36643	1107
1456	36667	1082
1457	36690	1056
1458	36712	1031
1459	36734	1006
1460	36757	981
1461	36778	955
1462	36801	930
1463	36825	905
1464	36848	880
1465	36868	855
1466	36889	829
1467	36911	804
1468	36934	779
1469	36956	754
1470	36978	729
1471	37001	703
1472	37023	678
1473	37047	653
1474	37069	628
1475	37090	603
1476	37113	577
1477	37145	552
1478	37172	527
1479	37200	502
1480	37225	477
1481	37251	452
1482	37275	427
1483	37299	402
1484	37320	376
1485	37341	351
1486	37364	326
1487	37388	301
1488	37410	276
1489	37434	251
1490	37455	226
1491	37477	200
1492	37502	175
1493	37525	150
1494	37549	125
1495	37572	100
1496	37595	75
1497	37618	50
1498	37639	25
1499	37662	0
